method,gap_ms,error_type,energy_bin,energy_low_db,energy_high_db,angular_mae_deg,angular_mae_rad,circular_error_mean,count,magnitude_fraction,magnitude_sum,magnitude_weighted_angular_mae_rad,magnitude_weighted_circular_error
global_local_affinity,1000,temporal,-20_to_-10,-20.0,-10.0,81.91445479206965,1.4296769410976622,0.8968008394309264,168678,0.2881494871736003,1321153.7498424053,1.4426686745584711,0.9067555888606538
global_local_affinity,1000,temporal,-10_to_0,-10.0,inf,89.62448007207077,1.5642422676456795,1.0021166502948304,38406,0.1709546824520642,783820.3079590797,1.5611799746200443,1.002478340606694
global_local_affinity,1000,unit,<-60,-inf,-60.0,90.01492982220303,1.5710569013490767,1.0001606069453706,7824084,0.019226645177111437,87383.38168967541,1.5707992562355313,0.9999462573648544
global_local_affinity,1000,unit,-60_to_-40,-60.0,-40.0,90.0029817951564,1.5708483689379957,0.9999879880999122,3523580,0.13254427633945823,602401.8742458932,1.5708157762333166,0.9999913436240975
global_local_affinity,1000,unit,-40_to_-20,-40.0,-20.0,89.6779580592114,1.5651756345986227,0.9962261922383888,1293334,0.3777525826446188,1716851.682101652,1.5616054905759864,0.9939424723359459
global_local_affinity,1000,unit,-20_to_-10,-20.0,-10.0,89.52530343923306,1.5625113088616203,0.9949126968189764,169575,0.2924588632756606,1329199.3607168198,1.5617819442304268,0.9942240466531012
global_local_affinity,1000,unit,-10_to_0,-10.0,inf,90.01745544110454,1.571100981714559,1.0001011486467934,39427,0.17801763256315117,809074.208758831,1.5664649585489863,0.9965089180107963
temporal_self_cross_attention,160,frequency,<-60,-inf,-60.0,42.487046890912644,0.7415388576956456,0.368661144342048,1375814,0.021546826290026654,12785.175488858076,0.7285767550948105,0.35732389138315657
temporal_self_cross_attention,160,frequency,-60_to_-40,-60.0,-40.0,40.44544281483333,0.7059061445459248,0.3412787384328427,473672,0.13468654543666841,79918.55024110526,0.6915247649432136,0.331864295092228
temporal_self_cross_attention,160,frequency,-40_to_-20,-40.0,-20.0,35.24060593057554,0.6150646038863834,0.28515573973038605,170885,0.37684492295439925,223607.33813904226,0.610097090614276,0.28468838182723716
temporal_self_cross_attention,160,frequency,-20_to_-10,-20.0,-10.0,31.721588671459138,0.5536461662802957,0.24653167682128863,22590,0.29561475990776587,175408.04068517685,0.5306105998302609,0.23083422429420952
temporal_self_cross_attention,160,frequency,-10_to_0,-10.0,inf,21.993052591678815,0.38385118028906734,0.14497015278214948,5039,0.17130694541113992,101647.88679599762,0.3728171655118923,0.14053290865598234
temporal_self_cross_attention,160,temporal,<-60,-inf,-60.0,89.75093531939169,1.5664493280678533,0.9968760266771114,1452118,0.02169536582423107,13890.259202149839,1.5642293833855303,0.9950697852185276
temporal_self_cross_attention,160,temporal,-60_to_-40,-60.0,-40.0,89.6313534475623,1.5643622306787328,0.9952218684431348,518976,0.13651713591663867,87403.84553918615,1.5648772146078542,0.9955331931784506
temporal_self_cross_attention,160,temporal,-40_to_-20,-40.0,-20.0,86.61953143250281,1.5117960200318943,0.9580091106561727,184105,0.3726525519714948,238587.38226231933,1.471414340706406,0.9298096697590016
temporal_self_cross_attention,160,temporal,-20_to_-10,-20.0,-10.0,83.51703676919898,1.4576472731316898,0.9200123841782264,22970,0.28013934419066566,179356.648560524,1.469949948029534,0.9300779944022872
temporal_self_cross_attention,160,temporal,-10_to_0,-10.0,inf,92.80405329796524,1.6197362892457956,1.0440782854621387,5817,0.18899560209696983,121002.7027182579,1.6340006742968063,1.0562833751700471
