method,gap_ms,error_type,position_bin,position_low,position_high,position_definition,angular_mae_deg,angular_mae_rad,circular_error_mean,count,magnitude_sum,magnitude_weighted_angular_mae_rad,magnitude_weighted_circular_error
global_local_affinity,1000,frequency,6,0.6,0.7,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.24811654131712,0.7199154438923194,0.3545821823517792,1280000,409209.4757714203,0.5135360852881198,0.23725802394146206
global_local_affinity,1000,frequency,7,0.7,0.8,0=first missing frame/left boundary; 1=last missing frame/right boundary,40.910690783054285,0.7140262534295945,0.35015492961932904,1280000,376578.0115323525,0.5164201368854449,0.23890775214320636
global_local_affinity,1000,frequency,8,0.8,0.9,0=first missing frame/left boundary; 1=last missing frame/right boundary,40.78690791855481,0.7118658348865287,0.3497903200112749,1280000,369506.30001918966,0.5149104893878509,0.23911563110775755
global_local_affinity,1000,frequency,9,0.9,1.0,0=first missing frame/left boundary; 1=last missing frame/right boundary,40.57304018099566,0.7081331387023303,0.3465381060327403,1280000,330931.6203713179,0.5244432797046568,0.24093811035006948
global_local_affinity,1000,temporal,0,0.0,0.1,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.41424878894323,1.5605730395644115,0.9925963019835434,1413243,543350.381390442,1.5107339484634972,0.959169352117768
global_local_affinity,1000,temporal,1,0.1,0.2,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.25173967319863,1.557736720430164,0.9905538016055808,1285000,504896.00123136624,1.5044549231160922,0.9553109267258384
global_local_affinity,1000,temporal,2,0.2,0.3,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.27193265054834,1.5580891543706967,0.9908221570662488,1285000,520979.34458903235,1.4989352585723357,0.9510888290136096
global_local_affinity,1000,temporal,3,0.3,0.4,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.52491764937594,1.5625045755583926,0.9942892800290761,1285000,513305.2598493913,1.510923178827587,0.9602031748427333
global_local_affinity,1000,temporal,4,0.4,0.5,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.49463828175364,1.5619761008979616,0.9936010869963057,1156500,477816.77236765524,1.5275028058028473,0.9708039133102986
global_local_affinity,1000,temporal,5,0.5,0.6,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.35315047110537,1.559506672750711,0.9919219841043309,1285000,477179.12420524284,1.4799319565038036,0.935345392010119
global_local_affinity,1000,temporal,6,0.6,0.7,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.3675786891601,1.5597584926609616,0.9920880830515684,1285000,418765.3565306736,1.4781658225815941,0.9338479626173155
global_local_affinity,1000,temporal,7,0.7,0.8,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.42477575895337,1.5607567698513474,0.9927017714728641,1285000,383006.47471449315,1.4858975221442203,0.9388528273984638
global_local_affinity,1000,temporal,8,0.8,0.9,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.08312210752143,1.554793788732399,0.988187503774899,1285000,375334.26069490286,1.4320411585377955,0.8979972291944319
global_local_affinity,1000,temporal,9,0.9,1.0,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.35325560385144,1.5595085076632815,0.9919218444863857,1413500,370326.59801943094,1.4684965775185412,0.9263217560321301
global_local_affinity,1000,unit,0,0.0,0.1,0=first missing frame/left boundary; 1=last missing frame/right boundary,90.01718146772554,1.5710961999770323,1.0002518721789238,1285000,492755.3946666116,1.5652413024269929,0.9973521904351836
global_local_affinity,1000,unit,1,0.1,0.2,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.97143496297782,1.5702977728479055,0.9996196665913678,1285000,504973.70404714637,1.5647504047269318,0.9950515220614302
global_local_affinity,1000,unit,2,0.2,0.3,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.98693418355467,1.5705682852784641,0.9998616013318649,1285000,520486.32118603546,1.573524593266012,1.0030622840062968
