method,gap_ms,error_type,depth_bin,depth_low,depth_high,depth_definition,angular_mae_deg,angular_mae_rad,circular_error_mean,count,magnitude_sum,magnitude_weighted_angular_mae_rad,magnitude_weighted_circular_error
temporal_self_cross_attention,500,frequency,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,41.41424332760987,0.7228149032888848,0.35574753220998684,1280000,397532.21005008684,0.5631644167714763,0.25533846503343427
temporal_self_cross_attention,500,frequency,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,41.48024663382593,0.7239668782995572,0.3566783175184857,1280000,406402.9404142797,0.5590801442846652,0.25263426560030144
temporal_self_cross_attention,500,frequency,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,41.3415644401914,0.7215464174067462,0.35556637217416426,1280000,424134.4814191207,0.5683816559651584,0.25907671795212067
temporal_self_cross_attention,500,temporal,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,89.34416865828024,1.5593499105441146,0.9915840666825909,1540972,472866.98004390224,1.4899994684100093,0.942630084768719
temporal_self_cross_attention,500,temporal,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,89.35069681638976,1.5594638483972165,0.991726720365708,1285000,405498.16847368877,1.491496380113826,0.9431530840948851
temporal_self_cross_attention,500,temporal,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,89.28907524574574,1.5583883490992279,0.991054804072213,1285000,403492.65463184443,1.4825560782154594,0.9369960154765344
temporal_self_cross_attention,500,temporal,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,89.3366406896405,1.5592185227053645,0.9916665127702724,1285000,414333.23810935585,1.4987595820770545,0.9510013273048119
temporal_self_cross_attention,500,temporal,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,89.4930610247912,1.5619485725708173,0.993766523874378,1156500,388007.3886499817,1.4986477493249504,0.9494117799378705
temporal_self_cross_attention,500,unit,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,90.01315585634232,1.5710259398039894,1.000342893864858,1285000,392236.4367152313,1.552931805133794,0.9874962422307346
temporal_self_cross_attention,500,unit,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,90.04068400772645,1.57150639668263,1.000672078592907,1285000,404629.54069319105,1.566510864953076,0.9977840840014722
temporal_self_cross_attention,500,unit,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,89.83068997144365,1.5678413093399424,0.9978042599582486,1285000,404030.7144427993,1.5578081528380963,0.9912621591329326
temporal_self_cross_attention,500,unit,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,89.96258914351338,1.5701433841732142,0.999548743230777,1285000,412729.88912760187,1.5753610003949636,1.0038493571974496
temporal_self_cross_attention,500,unit,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,90.16785135633366,1.5737258856168572,1.002500293478335,1285000,430125.20526106074,1.5574758732960645,0.9908284837834849
temporal_self_cross_attention,1000,frequency,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,41.3696435303266,0.7220364899805697,0.35496388799978884,2560000,816403.7368785499,0.5620279768502328,0.2527938726489366
temporal_self_cross_attention,1000,frequency,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,41.50509061099337,0.7244004875004192,0.3573675105723087,2560000,867381.4220783308,0.5642548043506833,0.25598930640482825
temporal_self_cross_attention,1000,frequency,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,41.43321166983121,0.7231459633142923,0.35580177854066714,2560000,889982.1185994865,0.5609635158821817,0.2538487996064104
temporal_self_cross_attention,1000,frequency,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,41.539763158891155,0.725005637621291,0.3574210211765021,2560000,915317.2371350104,0.5681535445300839,0.2576412622234765
temporal_self_cross_attention,1000,frequency,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,41.59027381816282,0.7258872149329346,0.3582777896593092,2560000,989899.3079944452,0.5653053019998724,0.2567702457608828
temporal_self_cross_attention,1000,temporal,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,89.33198393924084,1.5591372470784468,0.9915185529506209,2826743,913676.979409873,1.4933985506904823,0.9456074499773083
temporal_self_cross_attention,1000,temporal,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,89.15969287759178,1.5561302007809141,0.9892632938106468,2570000,880230.2619262693,1.4736623455145963,0.9307490594983232
